"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://baaz.pro/","text/html","307","Temporary Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.141","","https://www.baaz.pro/","HTTP Redirect","","","1.1","","","","","","https://baaz.pro/","2026-02-25 03:08:46"
"https://www.baaz.pro/","text/html; charset=utf-8","200","OK","Indexable","","Product Engineering Agency | Baaz — Enterprise Product Engineering","66","606","Baaz is a product engineering agency. We build world-class digital products since 2018: product strategy, UI/UX design, custom software development, mobile apps, and AI software development.","190","1231","","0","We Mix Creativity with Boring Consulting & Software Development","63","","0","","","","","","","","","","12765","3258","3258","1.248","","30","6","5.000","77.680","Fairly Easy","1.396","1","0","","0","0","0","0.000","2","1","0","0","0","0","","","","","3b6a5ecb43e75dd4b7f2d744daaf8a46","0.108","","","","","en","1.1","","","","","","https://www.baaz.pro/","2026-02-25 03:08:47"
"https://www.baaz.pro/assets/HomeHeroSectionIcon.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.050","Tue, 24 Feb 2026 21:24:14 GMT","","","","","1.1","","","","","","https://www.baaz.pro/assets/HomeHeroSectionIcon.svg","2026-02-25 03:08:48"
"https://www.baaz.pro/assets/HomeHeroSectionBg.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.152","Tue, 24 Feb 2026 21:24:13 GMT","","","","","1.1","","","","","","https://www.baaz.pro/assets/HomeHeroSectionBg.svg","2026-02-25 03:08:48"
"https://www.baaz.pro/_next/static/chunks/0ff423a9fcc0186e.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.222","Tue, 24 Feb 2026 21:24:13 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/0ff423a9fcc0186e.js","2026-02-25 03:08:48"
"https://www.baaz.pro/_next/static/chunks/a34d3cec28850ada.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.228","Tue, 24 Feb 2026 21:24:13 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/a34d3cec28850ada.css","2026-02-25 03:08:48"
"https://www.baaz.pro/_next/static/chunks/6b6948fb4d9b40da.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.472","Tue, 24 Feb 2026 21:38:48 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/6b6948fb4d9b40da.css","2026-02-25 03:08:48"
"https://www.baaz.pro/_next/static/chunks/247eb132b7f7b574.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.374","Tue, 24 Feb 2026 21:38:48 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/247eb132b7f7b574.js","2026-02-25 03:08:48"
"https://www.baaz.pro/_next/static/chunks/ff1a16fafef87110.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","282","282","282","0.108","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.413","Tue, 24 Feb 2026 21:38:48 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/ff1a16fafef87110.js","2026-02-25 03:08:48"
"https://www.baaz.pro/_next/static/chunks/6fd7ff7edd07f78e.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.118","Tue, 24 Feb 2026 21:24:13 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/6fd7ff7edd07f78e.js","2026-02-25 03:08:49"
"https://www.baaz.pro/assets/HomeScreenStrikBlue.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.144","Tue, 24 Feb 2026 21:24:13 GMT","","","","","1.1","","","","","","https://www.baaz.pro/assets/HomeScreenStrikBlue.svg","2026-02-25 03:08:49"
"https://www.baaz.pro/_next/static/chunks/turbopack-c8185547df6507a4.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.109","Tue, 24 Feb 2026 21:24:13 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/turbopack-c8185547df6507a4.js","2026-02-25 03:08:49"
"https://www.baaz.pro/get-in-touch","text/html; charset=utf-8","200","OK","Indexable","","Get in Touch | Baaz — Enterprise Product Engineering","52","469","Contact Baaz for product strategy, UI/UX design, custom software development, mobile apps, or AI solutions. We build digital products that scale.","145","918","","0","","0","Let's help you solve your complex problem","41","","","","","","","","","","11671","3048","3048","1.168","","26","4","6.500","89.607","Easy","1.252","2","0","","2","1","0","50.000","0","0","0","0","0","0","","","","","b73b05a0e39490f22354520cbfb0c162","0.774","","","","","en","1.1","","","","","","https://www.baaz.pro/get-in-touch","2026-02-25 03:08:48"
"https://www.baaz.pro/_next/static/chunks/ca0de0efa85e510a.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.172","Tue, 24 Feb 2026 21:24:13 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/ca0de0efa85e510a.js","2026-02-25 03:08:49"
"https://www.baaz.pro/_next/static/chunks/c79c716e416d0590.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.408","Tue, 24 Feb 2026 21:38:49 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/c79c716e416d0590.js","2026-02-25 03:08:49"
"https://www.baaz.pro/_next/static/chunks/a6dad97d9634a72d.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.396","Tue, 24 Feb 2026 21:38:49 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/a6dad97d9634a72d.js","2026-02-25 03:08:49"
"https://www.baaz.pro/_next/static/chunks/6740f161f60c6ab5.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.379","Tue, 24 Feb 2026 21:38:49 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/6740f161f60c6ab5.js","2026-02-25 03:08:49"
"https://www.baaz.pro/_next/static/chunks/e4003bcf759a811c.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.157","Tue, 24 Feb 2026 21:24:17 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/e4003bcf759a811c.js","2026-02-25 03:08:49"
"https://www.baaz.pro/_next/static/chunks/07e4300f4949822d.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.283","Tue, 24 Feb 2026 21:38:49 GMT","","","","","1.1","","","","","","https://www.baaz.pro/_next/static/chunks/07e4300f4949822d.css","2026-02-25 03:08:49"
